imageDir=C:\avatol\git\avatol_cv\sessions\leafDev\normalized\images
scoringConcernType=annotation
scoringConcernID=leaf base angle
scoringConcernName=leaf base angle
#imageName,scoringConcernValue,pointCoordinates
00-2cNgRYKCyKB6MWSBa4Y5EA_1.txt,obtuse,
00-2PSeXHrF7CitHgFA5jLGDH_1.txt,reflex,
00-39qvYdsSi5Mdeu5sZ327t3_1.txt,obtuse,
00-3ZHFDPH8RUKitbG3Djs5hN_1.txt,straight,
00-45FCQ35jgUjB2sARALftuV_1.txt,straight,
00-45vasaNx9QPcdh8dD6LYnk_1.txt,acute,
00-47VTDnxsG7E9icVpjNEP9L_1.txt,acute,
00-4o543mnAgnVRJWm7nS89XH_1.txt,straight,
00-53ZygkrUW9FLTdjeLX5Fkf_1.txt,obtuse,
00-5B5wpQZCoKFbwvnG39pmXS_1.txt,straight,
00-6W6gu79r9Gmn8se7mGQnuM_1.txt,reflex,
00-7EPTsJp4ivGZxKGYt4ftP9_1.txt,obtuse,
00-8jZGFAJZVhCkF7EHuS2dvH_1.txt,obtuse,
00-8PCQoRhZpqXGerKMTyzRUV_1.txt,acute,
00-8ZogoJuKq3dj4cFQ7rHwmk_1.txt,reflex,
00-9ky4NkuN6pz8AP4CzEdzTi_1.txt,acute,
00-9subxxfY4zb5iBJnxy5Dpn_1.txt,reflex,
00-9UusGbji2vT9yW8X3BYFbC_1.txt,obtuse,
00-9wBENQFY6T6BSaSiF7MLh3_1.txt,acute,
00-9ygtzyUccoGE2HWTfUJh4M_1.txt,reflex,
00-a4o5FHGiQYuYxBnzGAsjDS_1.txt,straight,
00-ABc9rZh4xwhJoKxRJtxEyK_1.txt,acute,
00-aCKfMZQq2kcrt5rmwGbBd6_1.txt,acute,
00-bh5JLQd5Z5fnunCVaNPPdT_1.txt,acute,
00-bHAjQhtYoBsTNn3supUPXR_1.txt,obtuse,
00-Bm9MnL8EhJHDGDDa2tffMT_1.txt,reflex,
00-bQy4h7iEpaKHytKTSyXMAg_1.txt,acute,
00-Bsb8Dww8nh4xrVZGTw5jxf_1.txt,acute,
00-btqYNzhdXjXSAthpUy5sDj_1.txt,acute,
00-bVymg7eXTHSRM9cAXHBEUk_1.txt,reflex,
00-byFVobSZpdBNmHhdas5iTN_1.txt,obtuse,
00-CeWjyaDiuKHN5g7JrhoLBA_1.txt,reflex,
00-ChoioZ5maZVwyFK4zsBGmd_1.txt,obtuse,
00-D64Xm2LuZkZHJyGqW7esr8_1.txt,straight,
00-dNCWbvfF2ocFEdXr5wYAVL_1.txt,acute,
00-DsqhBT2LufqDVsaDuZVFXk_1.txt,reflex,
00-dUu6e2EFngvTZMsUGfRQYX_1.txt,acute,
00-dxb9VrgmTgy8zc9CM6GGDV_1.txt,acute,
00-e25pqBD4t48CN69BUNPApR_1.txt,obtuse,
00-EPQQHF3ReqvUwx9DXVX7ZJ_1.txt,obtuse,
00-eWmYMZAKgFExSurxKQorPR_1.txt,obtuse,
00-f4Bhx7jXCEkbNzqimZDnC_1.txt,straight,
00-fCCRctRECTEkewfs59fkXb_1.txt,obtuse,
00-fe7YGLQTbmw5chL4GPWqFZ_1.txt,acute,
